__label__0,はいはい　今日もライジング太陽ごくろうさまです
__label__0,最近ずっとこんな調子で居心地悪いや
__label__0,うさんくさい明日に翻弄されて自問自答の日々
__label__0,前頭葉で溜まった不安とちちくり合ってんだ
__label__0,愛をちょうだいどうだろう　兄弟
__label__0,所詮　若輩者の御手前は空回り
__label__0,思想も理論も英単語もカタコトばかり
__label__0,IQちょうだいそうだろう　兄弟
__label__0,鬼さんこちら手のなる方へあなたの胸が高鳴る方へ
__label__0,掃除したての僕の部屋へ ついておいで
__label__0,途中でコンビニ 寄ってこうかいつもの食パン 買ってこうか
__label__0,ついでに思い出つくろうか キスしようか
__label__0,Woh 愛のかたちを 詰め込みましょう
__label__0,曇り空の流星群もショッピングセンターの裏のベンチも
__label__0,愛のかたちを 詰め込みましょう
__label__0,思い出その他を 包んだ両手はこの先二人の道しるべに きっと
__label__0,意味もないのに 怒ってみたりそんなあやまちを繰り返したり
__label__0,でもそこから始まるストーリー 夢のほとり
__label__0,鬼さんこちら手のなる方へあなたの胸が高鳴る方へ
__label__0,それが君のわがままならば 身を投げて
__label__0,Woh 愛のかたちを彩って
__label__0,君がスネた時のクセも君の前で吸った タバコの数も
__label__0,愛のかたちを彩って
__label__0,ダ・ビンチやゴッホの 絵画のようにますます二人は やさしい色にきっと… 
__label__0,Woh 愛のかたちを 詰め込みましょう
__label__0,曇り空の流星群もショッピングセンターの裏のベンチも
__label__0,愛のかたちを 詰め込みましょう
__label__0,思い出その他を 包んだ両手はこの先二人の道しるべに
__label__0,やあ　めぐり逢えたねようこそ　MANKAI　カンパニー
__label__0,動き出したら　夢のはじまり
__label__0,夢中になって追いかけてくシナリオ
__label__0,どんな場面に差し掛かっても
__label__0,手と手を伸ばせば　憧れの舞台が待ってる
__label__0,君のせいだよユーフォリア世界が変わったようさ
__label__0,「運命」だと言うのなら　騒がしい幕が上がるよ
__label__0,君とパッと咲かせよう　夢の物語
__label__0,主役も脇役もそんなの関係ないさ
__label__0,きっと誰もが生まれながらに主人公
__label__0,君のもとで　花開く1ページ
__label__0,めぐり逢えたねようこそ　MANKAI　カンパニー
__label__0,立ち止まろうが振り返ろうが待ってくれないのが　人生という眩しいステージ
__label__0,前を向いて　メランコリア悩む暇なんてないさ
__label__0,いつも胸の中には　止まれない理由があるから
__label__0,君と一歩踏み出そう
__label__0,息の詰まるような戸惑いや不安など　そんなのあって当然さ
__label__0,だって涙を超えてはじめて主人公
__label__0,そのすべてが　必要な1ページ
__label__0,やっと逢えたね
__label__0,ようこそ　MANKAI　カンパニーIt's Show Time！！
__label__0,スポットライトを浴びに行こう
__label__0,銀色の未来を駆けてこう
__label__0,巡り巡る回り回る　季節の中で
__label__0,君とパッと咲かせよう　夢の物語
__label__0,主役も脇役もそんなの関係ないさ
__label__0,きっと誰もが生まれながらに主人公
__label__0,君のもとで花開く1ページ
__label__0,めぐり逢えたね
__label__0,ようこそ　MANKAI　カンパニー
__label__0,僕はその類いの歌を知ってる
__label__0,夢を綴った綺麗ごとじゃうまく笑えないよ
__label__0,オレンジ色をした街灯が揺れる
__label__0,背中合わせの孤独たちが遠くで鳴いてる
__label__0,君に届け　残らず届け
__label__0,暗闇を裂いて苦しい夜をかきわけながら
__label__0,朝焼けを待ってる　朝焼けを待ってる
__label__0,僕はその心の名前を知ってる
__label__0,殴り書いてく言葉もまた君に続くよ
__label__0,春には優しさを　夏には夢を
__label__0,寒い秋には物語を　冬には誓いを
__label__0,君に向かえ　真っすぐ向かえ
__label__0,季節をまたいでどんな過去の傷跡たちも月日が撫でてく
__label__0,それでもまた浮かんでしまう柔らかい思い出
__label__0,奥の方に閉じ込めてた弱さがこぼれる
__label__0,君に届け　残らず届け
__label__0,暗闇を裂いて苦しい夜をかきわけながら
__label__0,朝焼けを待ってる歌にして待ってる
__label__0,その指で　その指でなぞる世界を
__label__0,いつまでも　いつまでも愛と呼びます
__label__0,通りゃんせ　ほら　通りゃんせ
__label__0,いついつ出逢う幼き日の約束今も巡る
__label__0,あしたてんきになあれ
__label__0,夕空に願い込めて
__label__0,そこにいたのはだあれ?
__label__0,舞い上がる　嗚呼　舞い落ちる君の面影
__label__0,その花で　その花で占う恋を結んだら　開いたらさあ出掛けよう
__label__0,通り雨　嗚呼　通り雨どんな痛みも
__label__0,あの日の傷のように過ぎて行くよ
__label__0,あしたてんきになあれ
__label__0,飛ばした靴の先に僕らは何を見たの?
__label__0,曇り晴れ　どんな空でも君に幸あれ
__label__0,あしたてんきになあれ
